,index,Job Tags Broad
0,Arts / Design / Creative,46
1,Education / Development,22
2,Management / Consulting,13
3,Public Service,13
4,Computing / ICT,12
5,Finance,10
6,Environment,7
7,Social Service,7
8,Healthcare,4
9,Logistics / Manufacturing,4
