,change,id,cat
0,Economic,7,STEEP Change 1
2,Political,8,STEEP Change 1
0,Economic,15,STEEP Change 2
2,Political,19,STEEP Change 2
1,Environmental,21,STEEP Change 3
4,Technological,22,STEEP Change 3
3,Social,25,STEEP Change 2
0,Economic,31,STEEP Change 3
2,Political,32,STEEP Change 3
3,Social,32,STEEP Change 3
3,Social,34,STEEP Change 1
4,Technological,36,STEEP Change 1
1,Environmental,39,STEEP Change 2
4,Technological,40,STEEP Change 2
1,Environmental,53,STEEP Change 1
