,index,Job Tags Broad
0,Arts / Design / Creative,29
1,Education / Development,17
2,Public Service,9
3,Social Service,7
4,Management / Consulting,7
5,Finance,7
6,Computing / ICT,6
7,Environment,6
8,Logistics / Manufacturing,4
9,Healthcare,3
